customer_id,days_since_last_txn,txn_count_90d,avg_txn_amount,monthly_volume,active_loan_count,max_fd_balance,qr_txn_count_30d,remittance_30d,age,occupation_type,district_code,true_persona,assigned_segment
1,32,6,12447.234401822472,15888.16663474987,1,0.0,0,0.0,18,2,72,Micro Finance Rural,6
2,3,102,111242.41403829987,3054170.660711254,2,19091.5026427478,38,0.0,53,1,24,Active SME Borrower,2
3,11,11,41950.52633134792,99450.15199619964,1,117409.94142322242,10,106746.36757317257,25,4,37,NRN Remittance Active,4
4,3,123,57309.40996058087,2134790.6219930123,2,60312.22712679376,43,0.0,52,1,35,Active SME Borrower,2
5,2,195,87641.25554451959,1318886.1655757795,2,42143.05420268899,27,0.0,54,1,41,Active SME Borrower,2
6,3,8,2835.8501909550005,21971.461390122364,0,0.0,0,0.0,46,2,17,Micro Finance Rural,6
7,17,16,137191.012375231,690003.1657339291,1,1221647.3711976756,3,0.0,34,0,47,High-Value Depositor,5
8,18,4,11915.17657705834,22670.799332330516,1,0.0,0,8329.35011687883,37,2,19,Micro Finance Rural,6
9,25,6,7530.194627952458,9649.159923078012,1,0.0,0,11214.24602884578,36,2,16,Micro Finance Rural,6
10,14,0,169896.35249734044,230390.57761196655,0,4731498.911027748,0,0.0,42,0,26,High-Value Depositor,5
11,8,25,33416.20393675206,194652.79633555183,1,84797.94504233418,6,60086.62261319985,28,0,19,NRN Remittance Active,0
12,52,0,9485.162308819228,11128.377266182995,1,0.0,0,980.8506796924858,42,2,12,Micro Finance Rural,6
13,27,4,3830.832896748103,12591.342197552656,0,0.0,0,2594.791744151979,26,2,19,Micro Finance Rural,6
14,20,0,10130.76679099632,6979.762545084281,0,0.0,0,10433.70398355993,40,2,8,Micro Finance Rural,6
15,0,161,63995.34013808458,3122053.657959828,2,46557.97420174076,47,0.0,45,1,40,Active SME Borrower,2
16,1,1,9680.597589394549,13245.86582952436,1,0.0,0,10747.091057586204,44,2,12,Micro Finance Rural,6
17,21,5,89839.95723054279,131241.28330385085,0,3721294.945685148,2,0.0,42,1,4,High-Value Depositor,5
18,167,0,1127.3663634330578,118.73744670308722,0,0.0,0,0.0,49,2,42,Dormant At-Risk,1
19,11,2,11553.479140199604,18449.29771876721,0,0.0,0,2662.321792567795,42,2,64,Micro Finance Rural,6
20,2,72,1149.7609627387287,47569.77976476197,0,0.0,44,0.0,20,3,64,QR Digital-First Youth,3
21,294,1,171.3515219289613,0.0,0,0.0,0,0.0,23,2,7,Dormant At-Risk,1
22,6,38,60432.73730414391,179904.61363887272,1,131368.6335093711,10,54611.76247932385,31,4,47,NRN Remittance Active,4
23,0,166,60503.37029101783,2824954.950213006,2,38657.19855359183,45,0.0,35,1,37,Active SME Borrower,2
